Message,MessageType,MetaData
"{'AidsToNavigationReport': {'AssignedMode': False, 'AtoN': 0, 'Dimension': {'A': 0, 'B': 0, 'C': 0, 'D': 0}, 'Fixtype': 7, 'Latitude': 40.42820166666667, 'Longitude': -73.84810166666666, 'MessageID': 21, 'Name': 'FG EAST             ', 'NameExtension': '', 'OffPosition': False, 'PositionAccuracy': False, 'Raim': False, 'RepeatIndicator': 0, 'Spare': False, 'Timestamp': 61, 'Type': 28, 'UserID': 993672988, 'Valid': True, 'VirtualAtoN': True}}",AidsToNavigationReport,"{'MMSI': 993672988, 'MMSI_String': 993672988, 'ShipName': '', 'latitude': 40.42820166666667, 'longitude': -73.84810166666666, 'time_utc': '2024-12-10 19:10:08.678960978 +0000 UTC'}"
"{'AidsToNavigationReport': {'AssignedMode': False, 'AtoN': 0, 'Dimension': {'A': 0, 'B': 0, 'C': 0, 'D': 0}, 'Fixtype': 7, 'Latitude': 41.14689333333333, 'Longitude': -7.745971666666667, 'MessageID': 21, 'Name': 'V-AIS 249C', 'NameExtension': '', 'OffPosition': False, 'PositionAccuracy': True, 'Raim': False, 'RepeatIndicator': 1, 'Spare': False, 'Timestamp': 60, 'Type': 25, 'UserID': 992636935, 'Valid': True, 'VirtualAtoN': True}}",AidsToNavigationReport,"{'MMSI': 992636935, 'MMSI_String': 992636935, 'ShipName': '', 'latitude': 41.14689333333333, 'longitude': -7.745971666666667, 'time_utc': '2024-12-10 19:11:02.296645534 +0000 UTC'}"
"{'AidsToNavigationReport': {'AssignedMode': False, 'AtoN': 0, 'Dimension': {'A': 0, 'B': 0, 'C': 0, 'D': 0}, 'Fixtype': 0, 'Latitude': 59.86589166666667, 'Longitude': 19.08559166666667, 'MessageID': 21, 'Name': 'REF POINT SIMPNASGR ', 'NameExtension': '', 'OffPosition': False, 'PositionAccuracy': True, 'Raim': False, 'RepeatIndicator': 1, 'Spare': False, 'Timestamp': 60, 'Type': 0, 'UserID': 992651055, 'Valid': True, 'VirtualAtoN': True}}",AidsToNavigationReport,"{'MMSI': 992651055, 'MMSI_String': 992651055, 'ShipName': '', 'latitude': 59.86589166666667, 'longitude': 19.08559166666667, 'time_utc': '2024-12-10 19:11:02.439272786 +0000 UTC'}"
"{'AidsToNavigationReport': {'AssignedMode': False, 'AtoN': 0, 'Dimension': {'A': 0, 'B': 0, 'C': 0, 'D': 0}, 'Fixtype': 7, 'Latitude': 42.03754666666667, 'Longitude': -73.93246500000001, 'MessageID': 21, 'Name': '87                  ', 'NameExtension': '', 'OffPosition': False, 'PositionAccuracy': False, 'Raim': False, 'RepeatIndicator': 1, 'Spare': False, 'Timestamp': 61, 'Type': 24, 'UserID': 993672046, 'Valid': True, 'VirtualAtoN': False}}",AidsToNavigationReport,"{'MMSI': 993672046, 'MMSI_String': 993672046, 'ShipName': '', 'latitude': 42.03754666666667, 'longitude': -73.93246500000001, 'time_utc': '2024-12-10 19:11:02.577563326 +0000 UTC'}"
"{'AidsToNavigationReport': {'AssignedMode': False, 'AtoN': 0, 'Dimension': {'A': 9, 'B': 9, 'C': 9, 'D': 9}, 'Fixtype': 7, 'Latitude': 51.58095, 'Longitude': 3.0035000000000003, 'MessageID': 21, 'Name': 'CPO-J2', 'NameExtension': '', 'OffPosition': False, 'PositionAccuracy': False, 'Raim': False, 'RepeatIndicator': 0, 'Spare': False, 'Timestamp': 61, 'Type': 0, 'UserID': 992051015, 'Valid': True, 'VirtualAtoN': True}}",AidsToNavigationReport,"{'MMSI': 992051015, 'MMSI_String': 992051015, 'ShipName': '', 'latitude': 51.58095, 'longitude': 3.0035000000000003, 'time_utc': '2024-12-10 19:11:02.621054603 +0000 UTC'}"
"{'AidsToNavigationReport': {'AssignedMode': False, 'AtoN': 0, 'Dimension': {'A': 0, 'B': 0, 'C': 0, 'D': 0}, 'Fixtype': 7, 'Latitude': 54.300286666666665, 'Longitude': 19.390404999999998, 'MessageID': 21, 'Name': 'BUOY 23             ', 'NameExtension': '', 'OffPosition': False, 'PositionAccuracy': True, 'Raim': False, 'RepeatIndicator': 1, 'Spare': False, 'Timestamp': 0, 'Type': 25, 'UserID': 992614108, 'Valid': True, 'VirtualAtoN': True}}",AidsToNavigationReport,"{'MMSI': 992614108, 'MMSI_String': 992614108, 'ShipName': '', 'latitude': 54.300286666666665, 'longitude': 19.390404999999998, 'time_utc': '2024-12-10 19:11:02.621340083 +0000 UTC'}"
"{'AidsToNavigationReport': {'AssignedMode': False, 'AtoN': 0, 'Dimension': {'A': 0, 'B': 0, 'C': 0, 'D': 0}, 'Fixtype': 7, 'Latitude': 54.310203333333334, 'Longitude': 19.372613333333334, 'MessageID': 21, 'Name': 'BUOY 19             ', 'NameExtension': '', 'OffPosition': False, 'PositionAccuracy': True, 'Raim': False, 'RepeatIndicator': 1, 'Spare': False, 'Timestamp': 0, 'Type': 25, 'UserID': 992614106, 'Valid': True, 'VirtualAtoN': True}}",AidsToNavigationReport,"{'MMSI': 992614106, 'MMSI_String': 992614106, 'ShipName': '', 'latitude': 54.310203333333334, 'longitude': 19.372613333333334, 'time_utc': '2024-12-10 19:11:02.707709338 +0000 UTC'}"
"{'AidsToNavigationReport': {'AssignedMode': False, 'AtoN': 0, 'Dimension': {'A': 0, 'B': 0, 'C': 0, 'D': 0}, 'Fixtype': 7, 'Latitude': 54.310595, 'Longitude': 19.37325, 'MessageID': 21, 'Name': 'BUOY 20             ', 'NameExtension': '', 'OffPosition': False, 'PositionAccuracy': True, 'Raim': False, 'RepeatIndicator': 1, 'Spare': False, 'Timestamp': 0, 'Type': 24, 'UserID': 992614107, 'Valid': True, 'VirtualAtoN': True}}",AidsToNavigationReport,"{'MMSI': 992614107, 'MMSI_String': 992614107, 'ShipName': '', 'latitude': 54.310595, 'longitude': 19.37325, 'time_utc': '2024-12-10 19:11:02.73633641 +0000 UTC'}"
"{'AidsToNavigationReport': {'AssignedMode': False, 'AtoN': 0, 'Dimension': {'A': 0, 'B': 0, 'C': 0, 'D': 0}, 'Fixtype': 7, 'Latitude': 30.096475, 'Longitude': -90.91221333333333, 'MessageID': 21, 'Name': 'A                   ', 'NameExtension': '', 'OffPosition': False, 'PositionAccuracy': False, 'Raim': False, 'RepeatIndicator': 1, 'Spare': False, 'Timestamp': 61, 'Type': 26, 'UserID': 993682010, 'Valid': True, 'VirtualAtoN': False}}",AidsToNavigationReport,"{'MMSI': 993682010, 'MMSI_String': 993682010, 'ShipName': '', 'latitude': 30.096475, 'longitude': -90.91221333333333, 'time_utc': '2024-12-10 19:11:02.83229458 +0000 UTC'}"
"{'AidsToNavigationReport': {'AssignedMode': False, 'AtoN': 0, 'Dimension': {'A': 0, 'B': 0, 'C': 0, 'D': 0}, 'Fixtype': 7, 'Latitude': 37.98055333333333, 'Longitude': -123.15139833333333, 'MessageID': 21, 'Name': '5N                  ', 'NameExtension': '', 'OffPosition': False, 'PositionAccuracy': False, 'Raim': False, 'RepeatIndicator': 0, 'Spare': False, 'Timestamp': 61, 'Type': 1, 'UserID': 993692013, 'Valid': True, 'VirtualAtoN': True}}",AidsToNavigationReport,"{'MMSI': 993692013, 'MMSI_String': 993692013, 'ShipName': '', 'latitude': 37.98055333333333, 'longitude': -123.15139833333333, 'time_utc': '2024-12-10 19:11:02.906937801 +0000 UTC'}"
