Message,MessageType,MetaData
{'UnknownMessage': {}},UnknownMessage,"{'MMSI': 3160047, 'MMSI_String': 3160047, 'ShipName': '', 'latitude': 44.06777833333333, 'longitude': -78.14333333333335, 'time_utc': '2024-12-10 18:55:23.531302338 +0000 UTC'}"
{'UnknownMessage': {}},UnknownMessage,"{'MMSI': 259000200, 'MMSI_String': 259000200, 'ShipName': 'TAMINA SPIRIT', 'latitude': 63.68792, 'longitude': 8.758208333333332, 'time_utc': '2024-12-10 18:55:23.573133343 +0000 UTC'}"
{'UnknownMessage': {}},UnknownMessage,"{'MMSI': 244000892, 'MMSI_String': 244000892, 'ShipName': 'STATENDAM', 'latitude': 51.913064999999996, 'longitude': 4.578469999999999, 'time_utc': '2024-12-10 19:10:08.605080614 +0000 UTC'}"
{'UnknownMessage': {}},UnknownMessage,"{'MMSI': 229818000, 'MMSI_String': 229818000, 'ShipName': 'EMERALD STAR', 'latitude': 52.378785, 'longitude': 4.908838333333334, 'time_utc': '2024-12-10 19:10:08.606116332 +0000 UTC'}"
{'UnknownMessage': {}},UnknownMessage,"{'MMSI': 244001498, 'MMSI_String': 244001498, 'ShipName': 'NATASJA  ', 'latitude': 51.454314999999994, 'longitude': 3.696598333333333, 'time_utc': '2024-12-10 19:10:08.676318212 +0000 UTC'}"
{'UnknownMessage': {}},UnknownMessage,"{'MMSI': 244001498, 'MMSI_String': 244001498, 'ShipName': 'NATASJA  ', 'latitude': 51.454314999999994, 'longitude': 3.696598333333333, 'time_utc': '2024-12-10 19:10:08.679261316 +0000 UTC'}"
{'UnknownMessage': {}},UnknownMessage,"{'MMSI': 244001498, 'MMSI_String': 244001498, 'ShipName': 'NATASJA  ', 'latitude': 51.454314999999994, 'longitude': 3.696598333333333, 'time_utc': '2024-12-10 19:10:08.680838217 +0000 UTC'}"
{'UnknownMessage': {}},UnknownMessage,"{'MMSI': 2655619, 'MMSI_String': 2655619, 'ShipName': 'VIKING CINDERELLA   ', 'latitude': 60.125035000000004, 'longitude': 20.657218333333333, 'time_utc': '2024-12-10 19:10:08.681478016 +0000 UTC'}"
{'UnknownMessage': {}},UnknownMessage,"{'MMSI': 244820803, 'MMSI_String': 244820803, 'ShipName': 'ISIS', 'latitude': 53.172779999999996, 'longitude': 5.41608, 'time_utc': '2024-12-10 19:11:02.2924006 +0000 UTC'}"
{'UnknownMessage': {}},UnknownMessage,"{'MMSI': 244057001, 'MMSI_String': 244057001, 'ShipName': 'ROYALMOON', 'latitude': 52.32909666666667, 'longitude': 4.8156783333333335, 'time_utc': '2024-12-10 19:11:02.294301583 +0000 UTC'}"
{'UnknownMessage': {}},UnknownMessage,"{'MMSI': 259215000, 'MMSI_String': 259215000, 'ShipName': 'DR. FRIDTJOF NANSEN', 'latitude': -33.91520666666666, 'longitude': 18.441973333333333, 'time_utc': '2024-12-10 19:11:02.311640998 +0000 UTC'}"
{'UnknownMessage': {}},UnknownMessage,"{'MMSI': 244670913, 'MMSI_String': 244670913, 'ShipName': 'RIO GRANDE', 'latitude': 51.45373333333334, 'longitude': 6.727185, 'time_utc': '2024-12-10 19:11:02.311893676 +0000 UTC'}"
{'UnknownMessage': {}},UnknownMessage,"{'MMSI': 369493027, 'MMSI_String': 369493027, 'ShipName': 'CG47229', 'latitude': 46.24943833333334, 'longitude': -124.04765833333333, 'time_utc': '2024-12-10 19:11:02.367245783 +0000 UTC'}"
{'UnknownMessage': {}},UnknownMessage,"{'MMSI': 261183140, 'MMSI_String': 261183140, 'ShipName': 'ORAVA', 'latitude': 52.53676333333333, 'longitude': 13.319433333333334, 'time_utc': '2024-12-10 19:11:02.443244655 +0000 UTC'}"
